PLAYER,TEAM,POSITION
Steven Adams,MEM,C
Bam Adebayo,MIA,C-F
Santi Aldama,MEM,F-C
LaMarcus Aldridge,BKN,C-F
Jarrett Allen,CLE,C
Deandre Ayton,PHX,C
Udoka Azubuike,UTA,C-F
Mo Bamba,ORL,C
Charles Bassey,PHI,C-F
Khem Birch,TOR,C
Goga Bitadze,IND,C-F
Bol Bol,DEN,C-F
Chris Boucher,TOR,F-C
Tony Bradley,CHI,C-F
Moses Brown,DAL,C
Thomas Bryant,WAS,C-F
Clint Capela,ATL,C
Vernon Carey Jr.,CHA,F-C
Wendell Carter Jr.,ORL,C-F
Willie Cauley-Stein,DAL,C
Nic Claxton,BKN,F-C
John Collins,ATL,F-C
Zach Collins,SAS,F-C
Anthony Davis,LAL,F-C
Ed Davis,CLE,C-F
Dewayne Dedmon,MIA,C
Gorgui Dieng,ATL,C
Andre Drummond,PHI,C
Joel Embiid,PHI,C-F
Drew Eubanks,SAS,F-C
Tacko Fall,CLE,C
Bruno Fernando,BOS,F-C
Daniel Gafford,WAS,F-C
Luka Garza,DET,C
Rudy Gobert,UTA,C
JaMychal Green,DEN,F-C
Montrezl Harrell,WAS,F-C
Isaiah Hartenstein,LAC,C-F
Jaxson Hayes,NOP,C-F
Willy Hernangomez,NOP,C-F
Al Horford,BOS,C-F
Dwight Howard,LAL,C-F
Jaren Jackson Jr.,MEM,F-C
Nikola Jokic,DEN,C
Damian Jones,SAC,C
Kai Jones,CHA,C-F
DeAndre Jordan,LAL,C
Frank Kaminsky,PHX,F-C
Enes Kanter,BOS,C
Nathan Knight,MIN,F-C
Jock Landale,SAS,C
Alex Len,SAC,C
Brook Lopez,MIL,C
Robin Lopez,ORL,C
Kevin Love,CLE,F-C
Sandro Mamukelashvili,MIL,F-C
Boban Marjanovic,DAL,C
Lauri Markkanen,CLE,F-C
Jalen McDaniels,CHA,F-C
JaVale McGee,PHX,C-F
Chimezie Metu,SAC,F-C
Evan Mobley,CLE,C
Mike Muscala,OKC,F-C
Larry Nance Jr.,POR,F-C
Zeke Nnaji,DEN,F-C
Nerlens Noel,NYK,C-F
Jusuf Nurkic,POR,C
Onyeka Okongwu,ATL,F-C
Kelly Olynyk,DET,F-C
Mason Plumlee,CHA,F-C
Jakob Poeltl,SAS,C
Kristaps Porzingis,DAL,F-C
Dwight Powell,DAL,F-C
Neemias Queta,SAC,C
Julius Randle,NYK,F-C
Naz Reid,MIN,C-F
Nick Richards,CHA,C
Mitchell Robinson,NYK,C-F
Domantas Sabonis,IND,F-C
Dario Saric,PHX,F-C
Alperen Sengun,HOU,C
Marko Simonovic,CHI,C
Jericho Sims,NYK,C
Jalen Smith,PHX,F-C
Isaiah Stewart,DET,F-C
Daniel Theis,HOU,F-C
Tristan Thompson,SAC,C-F
Killian Tillie,MEM,F-C
Karl-Anthony Towns,MIN,C-F
Myles Turner,IND,C-F
Jonas Valanciunas,NOP,C
Nikola Vucevic,CHI,C
Dean Wade,CLE,F-C
Moritz Wagner,ORL,F-C
Hassan Whiteside,UTA,C
Robert Williams III,BOS,C-F
James Wiseman,GSW,C
Omer Yurtseven,MIA,C
Cody Zeller,POR,F-C
Ivica Zubac,LAC,C
